,inventory,demand,backlog,shipment,order
1,160,40,0,40,20
2,160,40,0,40,25
3,160,40,0,40,25
4,140,40,0,20,15
5,125,40,0,25,10
6,110,112,2,25,50
7,15,105,92,15,120
8,10,101,183,10,140
9,50,96,229,50,80
10,120,93,202,120,120
11,4,56,254,4,80
12,68,18,204,68,40
13,79,57,182,79,69
14,80,85,187,80,100
15,229,48,6,229,30
16,69,72,9,69,0
17,100,82,0,100,30
18,159,82,0,150,30
19,77,81,4,0,89
20,30,82,56,30,93
1,160,40,0,40,0
2,160,40,0,40,40
3,160,40,0,40,0
4,120,40,0,0,40
5,0,40,40,0,50
6,0,112,152,0,150
7,40,105,217,40,0
8,50,101,268,50,100
9,108,56,216,108,60
10,29,13,200,29,10
11,69,51,182,69,50
12,74,58,166,74,50
13,40,87,213,40,100
14,50,62,225,50,100
15,50,73,248,50,100
16,100,78,226,100,100
17,100,43,169,100,100
18,72,52,149,72,20
19,128,51,72,128,50
20,97,82,57,97,50
1,160,40,0,40,0
2,160,40,0,40,0
3,160,40,0,40,0
4,120,40,0,0,40
5,80,40,0,0,40
6,40,112,72,0,120
7,40,105,137,40,120
8,40,101,198,40,101
9,120,96,174,120,120
10,14,53,213,14,120
11,47,51,217,47,200
12,122,48,143,122,120
13,15,87,215,15,120
14,302,59,0,302,50
15,392,51,0,364,50
16,495,84,0,154,0
17,475,60,0,64,0
18,465,82,0,50,0
19,383,81,0,0,60
20,302,82,0,0,50
1,160,40,0,40,0
2,160,40,0,40,0
3,160,40,0,40,30
4,120,40,0,0,20
5,80,40,0,0,40
6,70,112,42,30,112
7,20,105,127,20,160
8,40,101,188,40,200
9,112,96,172,112,300
10,18,83,237,18,150
11,54,31,214,54,300
12,109,48,153,109,400
13,35,87,205,35,300
14,275,55,0,275,100
15,506,58,0,491,100
16,883,84,0,435,84
17,1319,67,0,520,0
18,1352,82,0,100,0
19,1354,81,0,84,0
20,1273,82,0,0,0
1,160,40,0,40,0
2,160,40,0,40,0
3,160,40,0,40,40
4,120,40,0,0,0
5,80,40,0,0,40
6,80,112,32,40,0
7,0,105,137,0,40
8,40,101,198,40,61
9,0,96,294,0,160
10,40,93,347,40,100
11,61,11,297,61,0
12,75,48,270,75,0
13,37,7,240,37,0
14,91,45,194,91,0
15,45,65,214,45,60
16,12,79,281,12,40
17,0,40,321,0,40
18,60,82,343,60,84
19,40,57,360,40,80
20,40,14,334,40,0
1,160,40,0,40,20
2,160,40,0,40,0
3,160,40,0,40,0
4,140,40,0,20,20
5,100,40,0,0,20
6,60,112,52,0,100
7,20,105,137,20,157
8,20,101,218,20,100
9,100,96,214,100,159
10,63,73,224,63,150
11,0,31,255,0,200
12,160,28,123,160,70
13,0,87,210,0,125
14,201,85,94,201,150
15,382,7,0,382,8
16,484,84,0,203,0
17,550,83,0,150,0
18,484,82,0,17,0
19,402,81,0,0,0
20,346,82,0,25,0
