,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,80,40,60,60,20,20,60,140,140,120,280,293,212,270,214,118,120,220,180,149
1,80,40,0,0,0,0,80,180,200,200,220,220,159,200,243,75,67,164,159,99
2,80,40,0,85,105,118,148,203,303,492,560,739,858,845,618,491,125,0,0,0
3,80,80,40,0,0,40,144,195,146,223,280,226,255,274,99,116,165,110,110,181
4,80,40,0,0,40,82,184,209,193,343,383,403,403,263,164,42,42,0,20,40
5,80,40,40,40,0,0,55,135,160,140,225,225,145,165,165,100,80,140,180,107
6,80,40,0,0,40,40,20,120,300,200,260,260,195,151,251,150,50,110,160,75
7,80,52,12,0,0,0,42,172,225,175,225,225,128,147,211,131,61,159,185,113
8,80,40,0,0,0,40,140,155,135,280,275,228,186,239,404,252,139,207,149,0
9,80,143,185,114,32,17,142,242,200,341,541,420,420,230,58,0,0,38,86,133
10,80,40,0,0,0,0,60,210,250,310,310,410,308,500,698,509,504,519,317,308
11,80,40,0,50,70,60,50,90,180,165,315,340,246,245,262,66,30,60,65,135
12,80,540,500,340,300,300,140,140,0,0,0,0,300,300,100,200,118,0,0,0
13,80,40,0,0,0,98,198,268,368,366,386,453,586,510,143,152,60,0,0,0
14,80,40,40,40,0,0,14,144,298,168,242,397,298,237,391,171,13,178,178,0
15,80,40,0,0,10,10,70,250,280,310,350,360,200,350,210,110,80,124,95,110
16,80,40,82,82,0,40,140,100,142,282,326,333,433,421,561,516,422,403,203,32
17,80,40,0,0,0,0,100,100,175,252,252,312,352,192,292,200,100,18,18,50
18,80,40,0,0,0,0,142,184,133,168,218,163,141,187,251,121,130,181,98,78
19,80,40,40,120,120,70,75,155,140,134,165,216,288,301,219,180,134,116,130,170
20,80,40,200,200,0,0,0,0,75,152,398,321,287,287,200,215,265,213,150,15
21,80,90,100,70,40,60,100,220,271,351,465,490,539,449,96,0,0,0,0,0
22,80,40,0,40,40,40,120,104,124,180,242,224,267,292,332,203,139,97,20,0
23,80,140,150,50,35,70,75,130,160,241,308,366,367,355,297,292,220,189,197,83
