,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,0,0,0,44,55,72,121,19,0,53,0,0,0,0,0,0,0
1,0,0,0,0,0,54,104,95,72,38,0,0,60,31,4,14,86,57,55,104
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,31,39,46
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,94,157,218
5,0,0,0,0,0,14,89,100,97,127,30,44,125,99,109,54,145,53,25,122
6,0,0,0,0,0,14,124,115,0,82,7,0,51,91,23,0,24,0,0,15
7,0,0,0,0,0,42,130,91,73,66,0,10,72,66,0,0,36,32,54,100
8,0,0,0,0,0,14,44,80,77,0,0,25,99,48,0,0,0,0,0,50
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,112,149,185,183
10,0,0,0,0,0,54,124,65,42,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,64,75,52,95,20,15,35,36,0,0,0,18,37,22
12,0,0,0,0,0,0,0,0,0,0,62,159,0,41,28,0,0,0,82,173
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
14,0,0,0,0,0,14,130,91,0,90,25,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,44,104,15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,53,8,0,10,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,54,84,175,77,50,0,0,0,14,0,0,0,0,72,103
18,0,0,0,0,0,54,42,91,77,50,0,7,90,69,27,33,16,16,34,92
19,0,0,0,0,0,0,0,0,0,46,91,88,62,14,7,21,28,36,35,36
20,0,0,0,0,0,0,0,75,77,109,0,0,0,2,91,63,2,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,139
22,0,0,0,0,0,0,24,91,68,51,20,34,56,0,0,0,0,0,0,54
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
