,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name
0,60,120,180,230,272,274,366,549,778,980,1234,1438,1620,1807,1813,1822,1826,1864,1868,1924,beerGame
1,60,120,180,220,260,412,629,897,1113,1313,1495,1661,1874,2099,2347,2573,2742,2891,2963,3020,beerGame
2,60,120,180,220,240,312,449,647,821,1034,1251,1394,1609,1623,1793,1999,2207,2399,2550,2660,beerGame
3,60,120,180,220,240,282,409,597,769,1006,1220,1373,1578,1586,1810,2210,2836,3471,4107,4703,beerGame
4,60,120,180,220,240,272,409,607,901,1248,1545,1815,2055,2249,2463,2744,3065,3408,3768,4102,beerGame
5,60,120,180,230,260,312,449,667,881,1105,1360,1483,1693,1787,1927,2127,2361,2562,2722,2854,beerGame
6,60,120,180,220,240,312,489,767,1041,1318,1556,1707,1878,2061,2184,2309,2438,2534,2661,2870,beerGame
7,60,120,180,220,260,292,429,667,901,1130,1370,1508,1692,1827,1897,2019,2130,2228,2293,2317,beerGame
8,60,120,180,240,280,312,369,447,562,694,815,951,1034,1098,1099,1179,1283,1457,1617,1743,beerGame
9,60,120,180,220,240,311,487,764,1007,1221,1446,1531,1682,1810,1995,2264,2484,2726,2997,3150,beerGame
10,60,120,180,300,420,491,593,645,812,932,1007,1038,1063,1173,1367,1597,1786,1934,2098,2221,beerGame
11,60,120,180,220,240,312,489,727,1061,1448,1846,2292,2745,3203,3545,3891,4240,4400,4641,4924,beerGame
12,60,120,180,220,240,312,489,727,981,1248,1516,1682,1884,2131,2213,2379,2463,2550,2598,2688,beerGame
13,60,120,180,235,275,307,444,642,876,1102,1331,1518,1703,1876,1967,1979,1995,1999,2044,2171,beerGame
14,60,120,180,240,300,350,391,403,435,445,511,875,1295,1673,2009,2303,2555,2766,2936,3066,beerGame
15,60,120,180,240,280,312,448,685,978,1244,1464,1692,1789,1971,2022,2048,2095,2111,2134,2239,beerGame
16,60,120,180,240,300,314,371,489,683,922,1212,1530,1827,2137,2471,2781,3102,3421,3737,4063,beerGame
17,60,120,180,240,300,324,365,377,405,472,550,676,849,1107,1449,1875,2344,2725,3017,3311,beerGame
18,60,120,180,270,390,461,556,608,721,817,898,950,964,1002,1094,1245,1419,1515,1663,1824,beerGame
19,60,120,180,225,250,312,469,677,837,1060,1275,1408,1628,1672,2171,3169,4295,5757,7603,9409,beerGame
20,60,120,180,220,260,292,429,667,921,1150,1390,1564,1748,1941,2056,2206,2366,2533,2663,2755,beerGame
21,60,120,180,221,282,302,337,473,593,698,894,969,1101,1113,1278,1464,1666,1826,1946,2025,beerGame
22,60,140,224,288,362,384,411,493,608,752,912,1112,1266,1402,1492,1568,1661,1752,1884,1950,beerGameOUL
23,60,140,224,288,332,348,455,617,792,884,964,1131,1282,1418,1537,1558,1628,1717,1823,1910,beerGameOUL
24,60,140,224,288,332,366,368,387,440,581,672,799,842,906,992,1137,1427,1752,2036,2280,beerGameOUL
25,60,140,224,308,372,384,451,533,604,716,876,1021,1153,1263,1277,1307,1332,1356,1379,1473,beerGameOUL
26,60,140,224,288,332,348,415,495,550,662,824,913,1045,1047,1079,1167,1231,1277,1282,1348,beerGameOUL
27,60,140,224,288,352,364,431,553,713,850,970,1152,1339,1475,1614,1690,1828,1888,2029,2178,beerGameOUL
28,60,140,224,288,332,348,415,537,732,884,1004,1151,1318,1454,1593,1648,1685,1699,1794,1860,beerGameOUL
29,60,140,224,294,344,348,443,593,794,894,986,1127,1246,1382,1491,1565,1627,1719,1848,1943,beerGameOUL
30,60,140,224,288,332,348,455,577,692,769,889,1049,1222,1358,1509,1577,1601,1606,1619,1647,beerGameOUL
31,60,140,224,340,476,568,623,651,703,715,779,809,924,932,1014,1104,1152,1180,1205,1273,beerGameOUL
32,60,140,224,288,332,348,455,617,812,884,964,1111,1191,1327,1364,1399,1527,1631,1795,1923,beerGameOUL
33,60,140,224,288,332,349,386,438,573,715,905,1112,1295,1431,1537,1546,1576,1597,1597,1612,beerGameOUL
34,60,140,224,368,512,604,730,829,951,1029,1063,1082,1186,1374,1388,1389,1429,1487,1504,1551,beerGameOUL
35,60,140,224,288,332,348,455,519,576,650,810,924,1081,1141,1284,1313,1344,1430,1477,1483,beerGameOUL
