,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name
0,60,60,60,50,42,2,92,183,229,202,254,204,182,187,6,9,4,38,4,56,beerGame
1,60,60,60,40,40,152,217,268,216,200,182,166,213,225,248,226,169,149,72,57,beerGame
2,60,60,60,40,20,72,137,198,174,213,217,143,215,14,170,206,208,192,151,110,beerGame
3,60,60,60,40,20,42,127,188,172,237,214,153,205,8,224,400,626,635,636,596,beerGame
4,60,60,60,40,20,32,137,198,294,347,297,270,240,194,214,281,321,343,360,334,beerGame
5,60,60,60,50,30,52,137,218,214,224,255,123,210,94,140,200,234,201,160,132,beerGame
6,60,60,60,40,20,72,177,278,274,277,238,151,171,183,123,125,129,96,127,209,beerGame
7,60,60,60,40,40,32,137,238,234,229,240,138,184,135,70,122,111,98,65,24,beerGame
8,60,60,60,60,40,32,57,78,115,132,121,136,83,64,1,80,104,174,160,126,beerGame
9,60,60,60,40,20,71,176,277,243,214,225,85,151,128,185,269,220,242,271,153,beerGame
10,60,60,60,120,120,71,102,52,167,120,75,31,25,110,194,230,189,148,164,123,beerGame
11,60,60,60,40,20,72,177,238,334,387,398,446,453,458,342,346,349,160,241,283,beerGame
12,60,60,60,40,20,72,177,238,254,267,268,166,202,247,82,166,84,87,48,90,beerGame
13,60,60,60,55,40,32,137,198,234,226,229,187,185,173,91,12,16,4,45,127,beerGame
14,60,60,60,60,60,50,41,12,32,10,66,364,420,378,336,294,252,211,170,130,beerGame
15,60,60,60,60,40,32,136,237,293,266,220,228,97,182,51,26,47,16,23,105,beerGame
16,60,60,60,60,60,14,57,118,194,239,290,318,297,310,334,310,321,319,316,326,beerGame
17,60,60,60,60,60,24,41,12,28,67,78,126,173,258,342,426,469,381,292,294,beerGame
18,60,60,60,90,120,71,95,52,113,96,81,52,14,38,92,151,174,96,148,161,beerGame
19,60,60,60,45,25,62,157,208,160,223,215,133,220,44,499,998,1126,1462,1846,1806,beerGame
20,60,60,60,40,40,32,137,238,254,229,240,174,184,193,115,150,160,167,130,92,beerGame
21,60,60,60,41,61,20,35,136,120,105,196,75,132,12,165,186,202,160,120,79,beerGame
22,60,80,84,64,74,22,27,82,115,144,160,200,154,136,90,76,93,91,132,66,beerGameOUL
23,60,80,84,64,44,16,107,162,175,92,80,167,151,136,119,21,70,89,106,87,beerGameOUL
24,60,80,84,64,44,34,2,19,53,141,91,127,43,64,86,145,290,325,284,244,beerGameOUL
25,60,80,84,84,64,12,67,82,71,112,160,145,132,110,14,30,25,24,23,94,beerGameOUL
26,60,80,84,64,44,16,67,80,55,112,162,89,132,2,32,88,64,46,5,66,beerGameOUL
27,60,80,84,64,64,12,67,122,160,137,120,182,187,136,139,76,138,60,141,149,beerGameOUL
28,60,80,84,64,44,16,67,122,195,152,120,147,167,136,139,55,37,14,95,66,beerGameOUL
29,60,80,84,70,50,4,95,150,201,100,92,141,119,136,109,74,62,92,129,95,beerGameOUL
30,60,80,84,64,44,16,107,122,115,77,120,160,173,136,151,68,24,5,13,28,beerGameOUL
31,60,80,84,116,136,92,55,28,52,12,64,30,115,8,82,90,48,28,25,68,beerGameOUL
32,60,80,84,64,44,16,107,162,195,72,80,147,80,136,37,35,128,104,164,128,beerGameOUL
33,60,80,84,64,44,17,37,52,135,142,190,207,183,136,106,9,30,21,0,15,beerGameOUL
34,60,80,84,144,144,92,126,99,122,78,34,19,104,188,14,1,40,58,17,47,beerGameOUL
35,60,80,84,64,44,16,107,64,57,74,160,114,157,60,143,29,31,86,47,6,beerGameOUL
36,60,80,84,64,64,12,67,122,201,128,120,141,127,136,122,8,90,87,46,95,beerGameOUL
37,60,80,84,64,44,16,97,152,175,82,90,167,92,136,30,96,84,46,44,28,beerGameOUL
39,60,0,84,64,85,33,25,40,55,144,196,138,143,41,124,3,100,108,168,216,beerGameOUL
40,60,80,84,64,44,16,107,162,155,172,80,167,192,116,139,26,58,70,30,3,beerGameOUL
41,60,80,84,64,44,16,107,162,113,88,80,112,152,136,182,54,73,87,48,75,beerGameOUL
42,60,80,84,64,64,52,26,14,20,63,127,165,191,155,95,66,56,70,85,116,beerGameOUL
43,60,80,84,64,144,92,46,19,55,144,157,135,106,185,176,136,125,5,23,46,beerGameOUL
44,60,80,84,89,94,52,16,9,26,105,148,157,171,120,78,158,117,76,36,10,beerGameOUL
45,60,80,84,64,44,12,67,82,95,128,160,179,191,136,207,27,0,92,90,62,beerGameOUL
46,60,80,84,114,119,67,39,29,2,45,100,145,182,167,34,17,92,82,68,104,beerGameOUL
47,60,80,84,64,44,16,107,162,55,72,80,19,92,36,34,154,138,97,56,16,beerGameOULnoSg
48,60,80,84,64,54,18,35,90,113,144,152,194,132,136,38,164,220,298,268,228,beerGameOULnoSg
49,60,80,84,64,44,16,67,82,71,112,160,138,132,99,5,25,48,63,234,262,beerGameOULnoSg
50,60,80,84,64,94,42,7,62,55,118,154,154,158,128,134,120,83,41,91,8,beerGameOULnoSg
51,60,80,84,64,44,6,87,122,115,92,120,162,132,136,174,214,295,326,718,740,beerGameOULnoSg
52,60,80,84,84,64,28,22,10,55,73,161,127,203,22,253,570,628,780,758,726,beerGameOULnoSg
53,60,80,84,84,64,12,67,82,71,112,160,145,132,110,96,113,148,160,126,102,beerGameOULnoSg
54,60,80,84,64,44,16,87,122,175,112,120,167,156,143,127,132,86,56,40,68,beerGameOULnoSg
55,60,80,84,84,64,12,67,122,115,112,120,171,132,136,63,11,64,74,84,88,beerGameOULnoSg
56,60,80,84,84,64,12,67,122,155,112,120,187,154,136,92,74,14,32,24,68,beerGameOULnoSg
57,60,80,84,84,104,72,26,2,95,104,141,156,189,205,177,72,13,144,183,214,beerGameOULnoSg
58,60,80,84,64,44,16,107,162,155,72,80,167,92,136,92,208,218,176,142,110,beerGameOULnoSg
59,60,80,84,89,74,32,9,6,55,120,148,144,156,141,105,44,87,144,205,202,beerGameOULnoSg
60,60,80,84,86,76,24,27,59,72,144,183,180,132,129,23,90,136,140,120,94,beerGameOULnoSg
61,60,80,84,64,44,28,2,10,55,130,174,127,146,81,119,64,99,57,84,53,beerGameOULnoSg
62,60,80,84,84,64,12,67,122,65,112,120,91,137,118,126,186,10,44,132,198,beerGameOULnoSg
63,60,80,84,84,64,12,67,82,111,168,216,247,198,202,226,179,181,178,259,128,beerGameOULnoSg
64,60,80,84,84,64,28,5,20,63,144,185,180,132,156,14,0,106,90,84,54,beerGameOULnoSg
65,60,80,84,89,69,17,57,112,55,122,130,117,132,107,166,165,189,183,189,150,beerGameOULnoSg
66,60,80,84,104,84,32,36,24,45,36,86,96,136,127,4,62,88,88,110,127,beerGameOULnoSg
67,60,80,84,84,64,28,2,10,55,137,180,127,139,14,95,183,172,181,140,100,beerGameOULnoSg
68,60,80,84,64,44,16,107,162,130,72,80,139,92,136,52,68,61,97,86,75,beerGameOULnoSg
