,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name
0,60,120,180,230,272,272,272,272,272,272,272,272,272,272,272,272,276,314,314,314,beerGame
1,60,120,180,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,beerGame
2,60,120,180,220,240,240,240,240,240,240,240,240,240,254,424,630,838,1030,1181,1291,beerGame
3,60,120,180,220,240,240,240,240,240,240,240,240,240,248,472,872,1498,2133,2769,3365,beerGame
4,60,120,180,220,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,beerGame
5,60,120,180,230,260,260,260,260,260,260,260,260,260,260,400,600,834,1035,1195,1327,beerGame
7,60,120,180,220,260,260,260,260,260,260,260,260,260,260,330,452,563,661,726,750,beerGame
8,60,120,180,240,280,280,280,280,280,280,280,280,280,280,281,361,465,639,799,925,beerGame
10,60,120,180,300,420,491,593,645,812,932,1007,1038,1038,1038,1038,1268,1457,1605,1769,1892,beerGame
13,60,120,180,235,275,275,275,275,275,275,275,275,275,275,275,287,303,303,303,303,beerGame
14,60,120,180,240,300,350,391,403,435,445,511,875,1295,1673,2009,2303,2555,2766,2936,3066,beerGame
15,60,120,180,240,280,280,280,280,280,280,280,280,280,280,280,306,353,369,369,369,beerGame
16,60,120,180,240,300,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,beerGame
17,60,120,180,240,300,324,365,377,377,377,377,377,377,377,377,377,377,377,377,377,beerGame
18,60,120,180,270,390,461,556,608,721,817,898,950,964,964,964,964,964,964,964,964,beerGame
19,60,120,180,225,250,250,250,250,250,250,250,250,250,294,793,1791,2917,4379,6225,8031,beerGame
20,60,120,180,220,260,260,260,260,260,260,260,260,260,260,375,525,685,852,982,1074,beerGame
21,60,120,180,221,282,302,302,302,302,302,302,302,302,302,467,653,855,1015,1135,1214,beerGame
22,60,140,224,288,362,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,beerGameOUL
23,60,140,224,288,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,beerGameOUL
24,60,140,224,288,332,366,366,385,385,385,385,385,385,385,471,616,906,1231,1515,1759,beerGameOUL
25,60,140,224,308,372,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,beerGameOUL
26,60,140,224,288,332,332,332,332,332,332,332,332,332,334,366,454,518,564,569,569,beerGameOUL
27,60,140,224,288,352,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,beerGameOUL
29,60,140,224,294,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,beerGameOUL
30,60,140,224,288,332,332,332,332,332,332,332,332,332,332,332,332,356,361,361,389,beerGameOUL
31,60,140,224,340,476,568,623,651,703,715,715,715,715,723,805,895,943,971,971,971,beerGameOUL
32,60,140,224,288,332,332,332,332,332,332,332,332,332,332,332,367,495,599,763,891,beerGameOUL
33,60,140,224,288,332,349,349,349,349,349,349,349,349,349,349,358,388,409,409,424,beerGameOUL
34,60,140,224,368,512,604,730,829,951,1029,1063,1063,1063,1063,1077,1077,1117,1175,1192,1192,beerGameOUL
35,60,140,224,288,332,332,332,332,332,332,332,332,332,332,332,332,363,449,496,502,beerGameOUL
36,60,140,224,288,352,364,364,364,364,364,364,364,364,364,364,372,462,549,595,690,beerGameOUL
37,60,140,224,288,332,332,332,332,332,332,332,332,332,332,362,458,542,588,632,660,beerGameOUL
39,60,60,144,208,293,326,326,326,326,326,326,326,326,326,326,329,429,537,705,921,beerGameOUL
40,60,140,224,288,332,332,332,332,332,332,332,332,332,332,332,358,416,486,516,519,beerGameOUL
42,60,140,224,288,352,404,430,444,444,444,444,444,444,444,444,444,444,444,444,444,beerGameOUL
43,60,140,224,288,432,524,570,589,589,589,589,589,589,589,589,589,589,589,589,635,beerGameOUL
44,60,140,224,313,407,459,475,484,484,484,484,484,484,484,562,720,837,913,949,949,beerGameOUL
45,60,140,224,288,332,344,344,344,344,344,344,344,344,344,344,344,344,436,526,588,beerGameOUL
46,60,140,224,338,457,524,563,592,594,594,594,594,594,594,594,611,703,785,853,957,beerGameOUL
