,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name,player_id
0,160,160,160,140,125,110,15,10,50,120,4,68,79,80,229,69,100,159,77,30,beerGame,pcxc7ppc
1,160,160,160,120,0,0,40,50,108,29,69,74,40,50,50,100,100,72,128,97,beerGame,yu89s87s
2,160,160,160,120,80,40,40,40,120,14,47,122,15,302,392,495,475,465,383,302,beerGame,ljogoi99
3,160,160,160,120,80,70,20,40,112,18,54,109,35,275,506,883,1319,1352,1354,1273,beerGame,sz92hw3v
4,160,160,160,120,80,80,0,40,0,40,61,75,37,91,45,12,0,60,40,40,beerGame,rr4lay3l
5,160,160,160,140,100,60,20,20,100,63,0,160,0,201,382,484,550,484,402,346,beerGame,vqmqrdxe
6,160,160,160,120,80,40,0,0,100,50,50,95,67,63,114,82,79,100,50,0,beerGame,xwyidhmf
7,160,160,160,120,120,80,0,0,100,98,0,110,41,134,317,328,296,277,211,130,beerGame,gthepelt
8,160,160,160,160,120,80,80,80,59,76,102,73,60,100,150,243,287,431,402,333,beerGame,taff4x6b
9,160,160,160,120,81,41,0,0,130,83,0,148,21,108,0,0,120,60,0,120,beerGame,uunntdko
10,160,160,160,280,280,254,308,206,430,334,241,150,62,0,0,739,461,378,357,328,beerGame,6no5mud5
11,160,160,160,120,80,40,0,40,0,0,0,0,0,0,120,0,0,191,0,0,beerGame,plb695u5
12,160,160,160,120,80,40,0,40,80,40,10,150,51,0,179,0,165,40,120,40,beerGame,vprdi9za
13,160,160,160,150,120,80,0,40,60,101,8,90,69,97,115,200,113,78,40,0,beerGame,ju1o2887
14,160,160,160,160,160,213,187,126,159,113,222,815,927,840,755,671,587,504,422,341,beerGame,mxu03idu
15,160,160,160,160,120,80,1,0,40,120,58,0,178,0,215,124,177,115,58,0,beerGame,0m12hk8a
16,160,160,160,160,160,140,48,40,20,48,40,20,48,40,20,48,40,44,24,40,beerGame,kprpqf84
17,160,160,160,160,160,160,187,126,68,54,80,40,40,0,0,0,0,90,90,0,beerGame,57aicgny
18,160,160,160,220,280,254,295,206,322,286,253,192,114,47,30,25,60,160,29,64,beerGame,uql2gzu7
19,160,160,160,130,90,50,10,50,144,0,29,140,0,378,1031,2079,2314,3006,3774,3693,beerGame,9nuoqvrh
20,160,160,160,120,120,80,0,0,80,118,0,74,77,76,465,377,399,412,341,265,beerGame,zlwz8udb
21,160,160,160,122,162,152,70,0,112,108,0,151,30,205,406,455,486,403,321,240,beerGame,qvcpydgj
22,160,160,200,168,188,148,64,0,60,60,0,27,111,22,76,96,38,80,40,121,beerGameOUL,5taj0yyg
23,160,160,200,168,128,88,0,0,80,100,20,0,101,59,20,180,33,3,64,100,beerGameOUL,k3130yub
24,160,160,200,168,128,173,89,95,40,1,138,21,90,63,317,372,656,732,650,569,beerGameOUL,kquyonnt
25,160,160,200,208,168,128,24,40,104,16,0,102,58,26,179,66,33,83,82,10,beerGameOUL,6qbxdpc8
26,160,160,200,168,128,88,40,42,118,0,0,160,0,140,148,258,209,173,91,15,beerGameOUL,4kqdzy4c
27,160,160,200,168,168,128,24,0,55,80,25,0,80,80,0,145,20,80,0,73,beerGameOUL,gppgygcy
28,160,160,200,168,128,88,40,0,20,100,40,0,65,95,0,151,100,40,0,110,beerGameOUL,1b68uuyc
29,160,160,200,180,140,100,0,0,42,130,16,0,107,53,30,117,94,2,44,115,beerGameOUL,r2b2u4r0
30,160,160,200,168,128,88,0,40,100,55,5,47,67,46,35,152,163,47,68,149,beerGameOUL,j98wog89
31,160,160,200,271,313,288,201,110,197,113,24,121,0,190,247,222,179,137,56,38,beerGameOUL,suh54nkf
32,160,160,200,168,128,88,0,0,60,140,0,0,152,8,102,189,337,290,410,338,beerGameOUL,bou4qcf3
33,160,160,200,168,128,138,54,40,10,80,0,0,109,51,33,206,142,77,0,111,beerGameOUL,o2900rg3
34,160,160,200,328,328,288,344,253,338,245,156,68,0,0,300,29,82,197,115,34,beerGameOUL,y15m8eqt
35,160,160,200,168,128,88,0,98,100,0,2,133,0,103,0,169,173,197,175,94,beerGameOUL,qckejvcl
36,160,160,200,168,168,128,24,0,14,130,16,0,99,61,17,220,262,193,174,271,beerGameOUL,5gtxu8uh
37,160,160,200,168,128,88,10,0,70,120,0,0,160,0,200,273,251,173,170,137,beerGameOUL,nv1e7mid
39,160,0,200,168,210,170,66,40,78,0,6,143,0,112,0,195,282,251,417,514,beerGameOUL,hwxhdbe5
40,160,160,200,168,128,88,0,0,100,0,100,0,0,160,0,192,199,222,140,87,beerGameOUL,7cm964w8
41,160,160,200,168,128,88,0,0,142,42,16,55,45,60,12,175,43,0,120,54,beerGameOUL,6vzqg0js
42,160,160,200,168,168,208,144,83,73,46,24,49,28,64,112,59,76,68,66,50,beerGameOUL,ynlyf1te
43,160,160,200,168,328,288,184,93,38,0,75,77,34,0,89,76,13,202,63,135,beerGameOUL,0tpzrki9
44,160,160,200,218,228,208,124,73,67,10,45,75,1,100,353,319,316,234,152,71,beerGameOUL,fzdd1y59
45,160,160,200,168,128,128,24,40,80,24,16,68,17,75,0,199,104,186,261,204,beerGameOUL,fbdpf2o0
46,160,160,200,268,278,238,169,113,98,44,33,42,35,52,178,105,238,247,216,289,beerGameOUL,8rhd0oyg
47,160,160,200,168,128,88,0,0,200,0,0,148,12,100,187,390,358,276,194,113,beerGameOULnoSg,bqs8pilc
48,160,160,200,168,148,140,56,0,70,58,0,35,125,0,136,447,487,679,617,536,beerGameOULnoSg,i0ohcq9m
49,160,160,200,168,128,88,40,40,104,16,0,109,51,37,177,62,160,208,549,606,beerGameOULnoSg,ipc9hoem
50,160,160,200,168,228,188,84,0,100,26,0,87,47,34,77,70,73,121,21,182,beerGameOULnoSg,3nwug9zq
51,160,160,200,168,128,98,10,20,100,60,0,45,115,0,532,510,627,735,1517,1562,beerGameOULnoSg,x5ops6fb
52,160,160,200,208,168,160,136,45,48,71,0,89,0,252,589,1150,1337,1641,1598,1533,beerGameOULnoSg,ox3se6vg
53,160,160,200,208,168,128,24,40,104,16,0,102,58,26,385,308,323,401,333,284,beerGameOULnoSg,uzuf51h4
54,160,160,200,168,128,88,20,20,40,100,20,0,96,57,19,77,121,51,94,53,beerGameOULnoSg,5gbdurhq
55,160,160,200,208,168,128,24,0,100,60,0,36,124,0,112,167,174,231,249,258,beerGameOULnoSg,fi23cgq2
56,160,160,200,208,168,128,24,0,60,100,0,0,118,42,47,100,142,126,128,216,beerGameOULnoSg,q1d2z6ab
