,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name,player_id
0,20,25,25,15,10,50,120,140,80,120,80,40,69,100,30,0,30,30,89,93,beerGame,pcxc7ppc
1,0,40,0,40,50,150,0,100,60,10,50,50,100,100,100,100,100,20,50,50,beerGame,yu89s87s
2,0,0,0,40,40,120,120,101,120,120,200,120,120,50,50,0,0,0,60,50,beerGame,ljogoi99
3,0,0,30,20,40,112,160,200,300,150,300,400,300,100,100,84,0,0,0,0,beerGame,sz92hw3v
4,0,0,40,0,40,0,40,61,160,100,0,0,0,0,60,40,40,84,80,0,beerGame,rr4lay3l
5,20,0,0,20,20,100,157,100,159,150,200,70,125,150,8,0,0,0,0,0,beerGame,vqmqrdxe
6,0,0,0,0,0,100,50,50,150,200,50,0,100,0,100,50,0,50,100,300,beerGame,xwyidhmf
7,0,40,0,0,0,100,150,100,150,150,100,50,150,50,50,0,0,0,75,100,beerGame,gthepelt
8,40,0,0,80,80,160,60,100,300,50,100,150,100,150,200,0,0,0,0,0,beerGame,taff4x6b
9,0,1,40,0,20,150,150,150,0,20,0,0,0,120,60,0,120,50,100,0,beerGame,uunntdko
11,700,0,8,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,beerGame,6no5mud5
12,0,0,0,0,40,0,0,0,0,0,0,120,0,0,500,0,0,0,200,0,beerGame,plb695u5
13,0,0,0,0,40,80,40,10,150,150,50,50,100,45,40,120,40,80,50,90,beerGame,vprdi9za
14,30,10,0,0,40,60,180,100,100,100,0,60,200,40,40,40,0,80,100,80,beerGame,ju1o2887
15,40,40,93,500,60,200,200,40,200,200,0,0,0,0,0,0,0,0,0,0,beerGame,mxu03idu
16,40,0,0,1,0,40,120,120,100,100,200,8,47,97,1,25,0,0,120,20,beerGame,0m12hk8a
17,40,40,20,20,40,20,48,40,20,48,40,20,48,40,44,24,40,42,21,50,beerGame,kprpqf84
18,40,40,40,160,40,40,40,80,40,40,0,0,0,0,90,90,0,90,0,90,beerGame,57aicgny
19,100,100,160,100,80,60,60,60,30,10,20,30,25,60,160,250,10,50,100,100,beerGame,uql2gzu7
20,10,0,0,10,50,150,300,500,200,400,500,1000,1000,400,10,0,0,0,0,0,beerGame,9nuoqvrh
21,0,40,0,0,0,80,200,220,50,300,0,40,88,100,93,7,0,0,0,0,beerGame,zlwz8udb
22,2,80,30,30,0,112,350,150,80,100,20,200,90,85,0,0,0,0,0,0,beerGame,qvcpydgj
23,0,60,0,20,0,60,80,60,40,160,40,30,80,20,0,40,180,0,90,100,beerGameOUL,5taj0yyg
24,0,0,0,0,0,80,100,100,100,40,0,40,100,63,12,25,100,59,40,95,beerGameOUL,k3130yub
25,0,0,85,20,98,50,150,100,190,206,200,209,50,90,20,0,0,0,0,0,beerGameOUL,kquyonnt
26,40,0,0,0,40,104,91,55,93,57,48,87,45,4,83,82,28,82,81,81,beerGameOUL,6qbxdpc8
27,0,0,0,40,42,142,67,102,150,40,180,0,0,0,42,0,0,20,20,166,beerGameOUL,4kqdzy4c
28,0,40,0,0,0,55,80,80,60,110,0,0,100,0,80,0,140,40,0,120,beerGameOUL,gppgygcy
29,0,0,0,40,0,20,100,200,0,100,0,0,51,100,50,0,100,50,25,100,beerGameOUL,1b68uuyc
30,12,0,0,0,0,42,130,95,80,66,0,10,72,94,37,24,100,70,43,94,beerGameOUL,r2b2u4r0
31,0,0,0,0,40,100,55,80,200,0,0,25,99,200,0,50,68,0,0,0,beerGameOUL,j98wog89
