,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name,player_id
0,40,40,40,20,25,25,15,10,50,120,4,68,79,80,229,69,100,150,0,30,beerGame,pcxc7ppc
1,40,40,40,0,0,0,40,50,108,29,69,74,40,50,50,100,100,72,128,97,beerGame,yu89s87s
2,40,40,40,0,0,0,40,40,120,14,47,122,15,302,364,154,64,50,0,0,beerGame,ljogoi99
3,40,40,40,0,0,30,20,40,112,18,54,109,35,275,491,435,520,100,84,0,beerGame,sz92hw3v
4,40,40,40,0,0,40,0,40,0,40,61,75,37,91,45,12,0,60,40,40,beerGame,rr4lay3l
5,40,40,40,20,0,0,20,20,100,63,0,160,0,201,382,203,150,17,0,25,beerGame,vqmqrdxe
6,40,40,40,0,0,0,0,0,100,50,50,95,67,63,114,82,79,100,50,0,beerGame,xwyidhmf
7,40,40,40,0,40,0,0,0,100,98,0,110,41,134,317,188,52,55,16,0,beerGame,gthepelt
8,40,40,40,40,0,0,80,80,59,76,102,73,60,100,150,241,128,227,53,12,beerGame,taff4x6b
9,40,40,40,0,1,0,0,0,130,83,0,148,21,108,0,0,120,60,0,120,beerGame,uunntdko
11,40,40,40,160,40,14,166,3,325,0,0,0,0,0,0,739,0,0,61,0,beerGame,6no5mud5
12,40,40,40,0,0,0,0,40,0,0,0,0,0,0,120,0,0,191,0,0,beerGame,plb695u5
13,40,40,40,0,0,0,0,40,80,40,10,150,51,0,179,0,165,40,120,40,beerGame,vprdi9za
14,40,40,40,30,10,0,0,40,60,101,8,90,69,97,115,200,88,47,40,0,beerGame,ju1o2887
15,40,40,40,40,40,93,86,44,134,50,202,684,200,0,0,0,0,0,0,0,beerGame,mxu03idu
16,40,40,40,40,0,0,1,0,40,120,58,0,178,0,215,124,126,21,25,0,beerGame,0m12hk8a
17,40,40,40,40,40,20,20,40,20,48,40,20,48,40,20,48,40,44,24,40,beerGame,kprpqf84
18,40,40,40,40,40,40,139,44,43,54,80,40,40,0,0,0,0,90,90,0,beerGame,57aicgny
19,40,40,40,100,100,14,153,16,217,60,60,30,10,20,30,25,60,160,29,64,beerGame,uql2gzu7
20,40,40,40,10,0,0,10,50,144,0,29,140,0,378,942,1081,319,755,850,0,beerGame,9nuoqvrh
21,40,40,40,0,40,0,0,0,80,118,0,74,77,76,465,147,100,93,7,5,beerGame,zlwz8udb
22,40,40,40,2,80,30,30,0,112,108,0,151,30,205,406,125,115,0,0,0,beerGame,qvcpydgj
23,40,40,40,0,60,0,20,0,60,60,0,27,111,22,76,96,38,80,40,121,beerGameOUL,5taj0yyg
24,40,40,40,0,0,0,0,0,80,100,20,0,101,59,20,180,33,3,64,100,beerGameOUL,k3130yub
25,40,40,40,0,0,85,20,95,2,1,138,21,90,63,317,201,366,151,0,0,beerGameOUL,kquyonnt
26,40,40,40,40,0,0,0,40,104,16,0,102,58,26,179,66,33,83,82,10,beerGameOUL,6qbxdpc8
27,40,40,40,0,0,0,40,42,118,0,0,160,0,140,144,193,33,46,0,5,beerGameOUL,4kqdzy4c
28,40,40,40,0,40,0,0,0,55,80,25,0,80,80,0,145,20,80,0,73,beerGameOUL,gppgygcy
29,40,40,40,0,0,0,40,0,20,100,40,0,65,95,0,151,100,40,0,110,beerGameOUL,1b68uuyc
30,40,40,40,12,0,0,0,0,42,130,16,0,107,53,30,117,94,2,44,115,beerGameOUL,r2b2u4r0
31,40,40,40,0,0,0,0,40,100,55,5,47,67,46,35,152,163,0,58,149,beerGameOUL,j98wog89
32,40,40,40,103,82,15,17,0,142,9,0,121,0,190,232,58,0,40,1,38,beerGameOUL,suh54nkf
33,40,40,40,0,0,0,0,0,60,140,0,0,152,8,102,189,267,35,202,9,beerGameOUL,bou4qcf3
34,40,40,40,0,0,50,20,40,10,80,0,0,109,51,33,206,124,17,0,111,beerGameOUL,o2900rg3
35,40,40,40,160,40,0,160,0,140,0,0,0,0,0,300,0,82,118,0,0,beerGameOUL,y15m8eqt
36,40,40,40,0,0,0,0,98,100,0,2,133,0,103,0,169,173,131,60,0,beerGameOUL,qckejvcl
37,40,40,40,0,40,0,0,0,14,130,16,0,99,61,17,220,246,13,0,178,beerGameOUL,5gtxu8uh
38,40,40,40,0,0,0,10,0,70,120,0,0,160,0,200,212,60,4,79,48,beerGameOUL,nv1e7mid
39,0,0,200,0,82,0,0,40,78,0,6,143,0,112,0,195,276,51,200,178,beerGameOUL,hwxhdbe5
40,40,40,40,0,0,0,0,0,100,0,100,0,0,160,0,192,148,105,0,28,beerGameOUL,7cm964w8
41,40,40,40,0,0,0,0,0,142,42,16,55,45,60,12,175,43,0,120,54,beerGameOUL,6vzqg0js
42,40,40,40,0,40,80,40,30,45,46,24,49,28,64,112,59,76,68,66,50,beerGameOUL,ynlyf1te
43,40,40,40,0,200,0,0,0,0,0,75,77,34,0,89,76,13,202,63,135,beerGameOUL,0tpzrki9
44,40,40,40,50,50,20,20,40,49,10,45,75,1,100,353,164,0,0,0,0,beerGameOUL,fzdd1y59
45,40,40,40,0,0,40,0,40,80,24,16,68,17,75,0,199,104,186,77,24,beerGameOUL,fbdpf2o0
46,40,40,40,100,50,0,35,35,40,39,33,42,35,52,178,105,204,63,51,154,beerGameOUL,8rhd0oyg
47,40,40,40,0,0,0,0,0,200,0,0,148,12,100,187,322,50,0,0,0,beerGameOULnoSg,bqs8pilc
48,40,40,40,0,20,32,20,0,70,58,0,35,125,0,136,447,160,239,20,0,beerGameOULnoSg,i0ohcq9m
49,40,40,40,0,0,0,40,40,104,16,0,109,51,37,177,62,160,112,423,138,beerGameOULnoSg,ipc9hoem
50,40,40,40,0,100,0,0,0,100,26,0,87,47,34,77,70,73,121,21,182,beerGameOULnoSg,3nwug9zq
51,40,40,40,0,0,10,10,20,100,60,0,45,115,0,532,162,199,145,864,126,beerGameOULnoSg,x5ops6fb
52,40,40,40,40,0,32,80,0,48,71,0,89,0,252,544,644,198,386,39,16,beerGameOULnoSg,ox3se6vg
53,40,40,40,40,0,0,0,40,104,16,0,102,58,26,385,116,97,106,14,32,beerGameOULnoSg,uzuf51h4
54,40,40,40,0,0,0,20,20,40,100,20,0,96,57,19,77,121,51,94,53,beerGameOULnoSg,5gbdurhq
55,40,40,40,40,0,0,0,0,100,60,0,36,124,0,112,167,152,103,100,90,beerGameOULnoSg,fi23cgq2
56,40,40,40,40,0,0,0,0,60,100,0,0,118,42,47,100,142,126,65,169,beerGameOULnoSg,q1d2z6ab
57,40,40,40,40,80,40,0,0,0,80,51,0,52,39,31,159,139,295,159,143,beerGameOULnoSg,0auyyaft
58,40,40,40,0,0,0,0,0,100,100,0,0,160,0,324,314,100,0,13,15,beerGameOULnoSg,1i7n46v8
59,40,40,40,50,10,20,45,50,25,24,60,59,17,79,98,80,38,25,20,60,beerGameOULnoSg,pwz10qc3
60,40,40,40,45,20,0,15,23,80,17,0,90,70,7,258,215,102,90,40,29,beerGameOULnoSg,eyhz28iz
61,40,40,40,0,0,72,40,40,48,14,44,102,0,113,45,79,47,122,53,79,beerGameOULnoSg,ztsxpjur
62,40,40,40,40,0,0,0,0,150,10,0,116,39,23,75,17,201,176,192,213,beerGameOULnoSg,p8otvg9n
63,40,40,40,40,0,0,0,40,64,0,0,40,54,0,19,103,0,24,0,155,beerGameOULnoSg,0tanrp3l
64,40,40,40,40,0,32,30,40,50,8,37,62,61,17,207,78,229,50,70,20,beerGameOULnoSg,1vipmggl
65,40,40,40,50,0,0,0,0,150,0,0,100,60,29,24,83,7,32,75,50,beerGameOULnoSg,b7hpniiw
66,40,40,40,80,0,0,100,30,0,98,38,55,45,69,193,164,123,82,124,115,beerGameOULnoSg,tug1j37z
67,40,40,40,40,0,32,40,40,48,7,45,108,0,174,287,206,61,99,0,0,beerGameOULnoSg,ixvl75tc
68,40,40,40,0,0,0,0,0,125,75,0,28,132,0,270,114,41,154,58,60,beerGameOULnoSg,rdswgmbr
