,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,study_name
0,0,0,0,0,0,2,94,277,506,708,962,1166,1348,1535,1541,1550,1550,1550,1554,1610,beerGame
1,0,0,0,0,40,192,409,677,893,1093,1275,1441,1654,1879,2127,2353,2522,2671,2743,2800,beerGame
2,0,0,0,0,0,72,209,407,581,794,1011,1154,1369,1369,1369,1369,1369,1369,1369,1369,beerGame
3,0,0,0,0,0,42,169,357,529,766,980,1133,1338,1338,1338,1338,1338,1338,1338,1338,beerGame
4,0,0,0,0,0,32,169,367,661,1008,1305,1575,1815,2009,2223,2504,2825,3168,3528,3862,beerGame
5,0,0,0,0,0,52,189,407,621,845,1100,1223,1433,1527,1527,1527,1527,1527,1527,1527,beerGame
6,0,0,0,0,0,72,249,527,801,1078,1316,1467,1638,1821,1944,2069,2198,2294,2421,2630,beerGame
7,0,0,0,0,0,32,169,407,641,870,1110,1248,1432,1567,1567,1567,1567,1567,1567,1567,beerGame
8,0,0,0,0,0,32,89,167,282,414,535,671,754,818,818,818,818,818,818,818,beerGame
9,0,0,0,0,0,71,247,524,767,981,1206,1291,1442,1570,1755,2024,2244,2486,2757,2910,beerGame
10,0,0,0,0,0,0,0,0,0,0,0,0,25,135,329,329,329,329,329,329,beerGame
11,0,0,0,0,0,72,249,487,821,1208,1606,2052,2505,2963,3305,3651,4000,4160,4401,4684,beerGame
12,0,0,0,0,0,72,249,487,741,1008,1276,1442,1644,1891,1973,2139,2223,2310,2358,2448,beerGame
13,0,0,0,0,0,32,169,367,601,827,1056,1243,1428,1601,1692,1692,1692,1696,1741,1868,beerGame
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,beerGame
15,0,0,0,0,0,32,168,405,698,964,1184,1412,1509,1691,1742,1742,1742,1742,1765,1870,beerGame
16,0,0,0,0,0,0,57,175,369,608,898,1216,1513,1823,2157,2467,2788,3107,3423,3749,beerGame
17,0,0,0,0,0,0,0,0,28,95,173,299,472,730,1072,1498,1967,2348,2640,2934,beerGame
18,0,0,0,0,0,0,0,0,0,0,0,0,0,38,130,281,455,551,699,860,beerGame
19,0,0,0,0,0,62,219,427,587,810,1025,1158,1378,1378,1378,1378,1378,1378,1378,1378,beerGame
20,0,0,0,0,0,32,169,407,661,890,1130,1304,1488,1681,1681,1681,1681,1681,1681,1681,beerGame
21,0,0,0,0,0,0,35,171,291,396,592,667,799,811,811,811,811,811,811,811,beerGame
22,0,0,0,0,0,0,27,109,224,368,528,728,882,1018,1108,1184,1277,1368,1500,1566,beerGameOUL
23,0,0,0,0,0,16,123,285,460,552,632,799,950,1086,1205,1226,1296,1385,1491,1578,beerGameOUL
24,0,0,0,0,0,0,2,2,55,196,287,414,457,521,521,521,521,521,521,521,beerGameOUL
25,0,0,0,0,0,0,67,149,220,332,492,637,769,879,893,923,948,972,995,1089,beerGameOUL
26,0,0,0,0,0,16,83,163,218,330,492,581,713,713,713,713,713,713,713,779,beerGameOUL
27,0,0,0,0,0,0,67,189,349,486,606,788,975,1111,1250,1326,1464,1524,1665,1814,beerGameOUL
28,0,0,0,0,0,16,83,205,400,552,672,819,986,1122,1261,1316,1353,1367,1462,1528,beerGameOUL
29,0,0,0,0,0,4,99,249,450,550,642,783,902,1038,1147,1221,1283,1375,1504,1599,beerGameOUL
30,0,0,0,0,0,16,123,245,360,437,557,717,890,1026,1177,1245,1245,1245,1258,1258,beerGameOUL
31,0,0,0,0,0,0,0,0,0,0,64,94,209,209,209,209,209,209,234,302,beerGameOUL
32,0,0,0,0,0,16,123,285,480,552,632,779,859,995,1032,1032,1032,1032,1032,1032,beerGameOUL
33,0,0,0,0,0,0,37,89,224,366,556,763,946,1082,1188,1188,1188,1188,1188,1188,beerGameOUL
34,0,0,0,0,0,0,0,0,0,0,0,19,123,311,311,312,312,312,312,359,beerGameOUL
35,0,0,0,0,0,16,123,187,244,318,478,592,749,809,952,981,981,981,981,981,beerGameOUL
36,0,0,0,0,0,0,67,189,390,518,638,779,906,1042,1164,1164,1164,1164,1164,1164,beerGameOUL
37,0,0,0,0,0,16,113,265,440,522,612,779,871,1007,1007,1007,1007,1007,1007,1007,beerGameOUL
39,0,0,0,0,0,0,25,65,120,264,460,598,741,782,906,906,906,906,906,906,beerGameOUL
40,0,0,0,0,0,16,123,285,440,612,692,859,1051,1167,1306,1306,1306,1306,1306,1306,beerGameOUL
41,0,0,0,0,0,16,123,285,398,486,566,678,830,966,1148,1202,1275,1362,1410,1485,beerGameOUL
42,0,0,0,0,0,0,0,0,20,83,210,375,566,721,816,882,938,1008,1093,1209,beerGameOUL
43,0,0,0,0,0,0,0,0,55,199,356,491,597,782,958,1094,1219,1224,1247,1247,beerGameOUL
44,0,0,0,0,0,0,0,0,26,131,279,436,607,727,727,727,727,727,727,737,beerGameOUL
45,0,0,0,0,0,0,67,149,244,372,532,711,902,1038,1245,1272,1272,1272,1272,1272,beerGameOUL
46,0,0,0,0,0,0,0,0,0,45,145,290,472,639,673,673,673,673,673,673,beerGameOUL
47,0,0,0,0,0,16,123,285,340,412,492,511,603,639,639,639,639,639,639,639,beerGameOULnoSg
48,0,0,0,0,0,0,35,125,238,382,534,728,860,996,1034,1034,1034,1034,1034,1034,beerGameOULnoSg
49,0,0,0,0,0,16,83,165,236,348,508,646,778,877,882,907,907,907,907,907,beerGameOULnoSg
50,0,0,0,0,0,0,7,69,124,242,396,550,708,836,970,1090,1173,1214,1305,1305,beerGameOULnoSg
51,0,0,0,0,0,6,93,215,330,422,542,704,836,972,972,972,972,972,972,972,beerGameOULnoSg
52,0,0,0,0,0,0,0,10,65,138,299,426,629,629,629,629,629,629,629,629,beerGameOULnoSg
53,0,0,0,0,0,0,67,149,220,332,492,637,769,879,879,879,879,879,879,879,beerGameOULnoSg
54,0,0,0,0,0,16,103,225,400,512,632,799,955,1098,1225,1357,1443,1499,1539,1607,beerGameOULnoSg
55,0,0,0,0,0,0,67,189,304,416,536,707,839,975,1038,1038,1038,1038,1038,1038,beerGameOULnoSg
56,0,0,0,0,0,0,67,189,344,456,576,763,917,1053,1145,1219,1233,1233,1233,1233,beerGameOULnoSg
57,0,0,0,0,0,0,0,2,97,201,342,498,687,892,1069,1141,1141,1141,1141,1141,beerGameOULnoSg
58,0,0,0,0,0,16,123,285,440,512,592,759,851,987,987,987,987,987,987,987,beerGameOULnoSg
59,0,0,0,0,0,0,0,0,55,175,323,467,623,764,869,913,1000,1144,1349,1551,beerGameOULnoSg
60,0,0,0,0,0,0,27,86,158,302,485,665,797,926,926,926,926,926,926,926,beerGameOULnoSg
61,0,0,0,0,0,0,0,10,65,195,369,496,642,723,842,906,1005,1062,1146,1199,beerGameOULnoSg
62,0,0,0,0,0,0,67,189,254,366,486,577,714,832,958,1144,1154,1154,1154,1154,beerGameOULnoSg
63,0,0,0,0,0,0,67,149,260,428,644,891,1089,1291,1517,1696,1877,2055,2314,2442,beerGameOULnoSg
64,0,0,0,0,0,0,5,25,88,232,417,597,729,885,899,899,899,899,899,899,beerGameOULnoSg
65,0,0,0,0,0,0,57,169,224,346,476,593,725,832,998,1163,1352,1535,1724,1874,beerGameOULnoSg
66,0,0,0,0,0,0,0,0,45,81,167,263,399,526,526,526,526,526,526,526,beerGameOULnoSg
67,0,0,0,0,0,0,0,10,65,202,382,509,648,662,662,662,662,662,662,662,beerGameOULnoSg
68,0,0,0,0,0,16,123,285,415,487,567,706,798,934,934,934,934,934,934,934,beerGameOULnoSg
